"Timestamp";"Your Name (as you would like it to appear):";"Your Contribution(s)"
"2017/12/02 10:20:10 AM PST";"GregsGrog";"Bookcase Model and CandleHolder"
"2017/12/02 12:03:02 PM PST";"Ornex55";"The  Table"
"2017/12/02 12:06:46 PM PST";"Ryan (AdventureTimeWorldWide)";"Room, First Table"
"2017/12/02 7:12:51 PM PST";"Lost_Thing";"Doing Lost things"
"2017/12/03 8:12:49 AM PST";"Pitje";"Being a general pit in chat"
"2017/12/03 10:11:20 AM PST";"FrederikJA163";"Designed a logo and loads of motivation and bits"
"2017/12/03 10:36:54 AM PST";"Frank Mason";"3D models"
"2017/12/03 10:37:35 AM PST";"TheAgilityMusty";"Ideas, art and objects for wall"
"2017/12/03 10:42:18 AM PST";"Hufo";"Code; visual effects; and bugs"
"2017/12/03 11:37:34 AM PST";"Crucial";"Bubbles vfx; Liquids in cauldrons"
"2017/12/03 8:06:38 PM PST";"Jeremy Mitchell";"Special Effects Editing, Came up with ideas (including to use potions instead of beer)"
"2017/12/04 10:15:08 AM PST";"IsleWolf";"Ideas; ice ball, magical orb; and tornado."
"2017/12/04 10:23:21 AM PST";"btastic";"menu stuff"
